Day of month,Date,Vent Temperature,Ambient Temperature,Difference in Temperature,Vent Open/Closed,Power(W),Energy(kWh),Total Energy(kWh)
4,"Apr 4, 2017 11:57:54",22.25,22.187,0.063,False,0,0,0,Program has started
4,"Apr 4, 2017 11:58:05",22.187,22.125,0.062,False,0,0,0
4,"Apr 4, 2017 11:58:12",22.187,22.187,0.0,False,0,0,0,Program has started
4,"Apr 4, 2017 11:58:17",22.187,22.125,0.062,False,0,0,0,Program has started
4,"Apr 4, 2017 11:59:41",22.187,22.125,0.062,False,0,0,0,Program has started
4,"Apr 4, 2017 11:59:51",22.187,22.125,0.062,False,0,0,0
4,"Apr 4, 2017 12:00:01",22.187,22.187,0.0,False,0,0,0,Program has started
4,"Apr 4, 2017 12:00:11",22.187,22.187,0.0,False,0,0,0
4,"Apr 4, 2017 12:02:44",22.187,22.25,0.063,False,0,0,0,Program has started
4,"Apr 4, 2017 12:04:40",22.25,22.25,0.0,False,0,0,0,Program has started
4,"Apr 4, 2017 12:11:58",22.25,22.437,0.187,False,0,0,0,Program has started
4,"Apr 4, 2017 12:12:08",22.375,22.437,0.062,False,0,0,0
4,"Apr 4, 2017 12:15:43",22.437,22.437,0.0,False,0,0,0,Program has started
4,"Apr 4, 2017 12:20:37",22.562,22.625,0.063,False,0,0,0,Program has started
4,"Apr 4, 2017 12:21:29",22.562,22.687,0.125,False,0,0,0,Program has started
4,"Apr 4, 2017 12:21:39",22.562,22.687,0.125,False,0,0,0
4,"Apr 4, 2017 12:21:42",22.562,22.687,0.125,False,0,0,0,Program has started
4,"Apr 4, 2017 12:21:52",22.562,22.687,0.125,False,0,0,0
4,"Apr 4, 2017 12:26:12",22.437,22.375,0.062,False,0,0,0,Program has started
4,"Apr 4, 2017 12:26:22",22.437,22.375,0.062,False,0,0,0
4,"Apr 4, 2017 12:27:06",22.437,22.25,0.187,False,0,0,0,Program has started
4,"Apr 4, 2017 12:27:10",22.375,22.25,0.125,False,0,0,0
4,"Apr 4, 2017 12:27:16",22.375,22.312,0.063,False,0,0,0,Program has started
4,"Apr 4, 2017 12:27:26",22.375,22.25,0.125,False,0,0,0
4,"Apr 4, 2017 12:27:33",22.375,22.25,0.125,False,0,0,0,Program has started
4,"Apr 4, 2017 12:40:39",21.875,21.687,0.188,False,0,0,0,Program has started
4,"Apr 4, 2017 13:02:11",22.5,22.812,0.312,False,0,0,0,Program has started
4,"Apr 4, 2017 13:02:21",22.5,22.812,0.312,False,0,0,0
4,"Apr 4, 2017 13:06:15",22.687,22.937,0.25,False,0,0,0,Program has started
4,"Apr 4, 2017 13:06:25",22.687,22.937,0.25,False,0,0,0
